header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,StartMSE(training),performance(training),MaxSELabel,MinLabel
Datasets\HillValley.csv,0.483552631578947,0.494635043124011,0.516447368421053,0.682780182780183,0.508417508417508,0.58807859818374,0.67260579064588,2,0,0.246564384441044,0,0
Datasets\HillValley.csv,0.486842105263158,0.494157847298962,0.513157894736842,0.542058660763697,0.507194244604317,0.527212503881586,0.655813953488372,3,0.487360492344636,0.241726949994818,0,0
Datasets\HillValley.csv,0.463815789473684,0.497653540554335,0.536184210526316,0.640669695440014,0.519434628975265,0.583788647199285,0.675862068965517,4,0.477492789431448,0.227227492957814,0,0
Datasets\HillValley.csv,0.470394736842105,0.490932213224288,0.529605263157895,0.563433181860336,0.517110266159696,0.545995760553612,0.655421686746988,5,0.451659054532619,0.221018996697399,0,0
Datasets\HillValley.csv,0.424342105263158,0.483928431108017,0.575657894736842,0.612520115867396,0.548117154811716,0.593517195634481,0.670076726342711,6,0.440721449426104,0.218073841955224,1,0
Datasets\HillValley.csv,0.381578947368421,0.488894197285454,0.618421052631579,0.67048853439681,0.576271186440678,0.643403120578925,0.701030927835052,7,0.430210782215184,0.211189640679884,1,0
Datasets\HillValley.csv,0.371710526315789,0.488885391130507,0.628289473684211,0.679169437224204,0.583690987124464,0.652739454671684,0.706493506493507,8,0.422578141739966,0.204691581791636,1,0
Datasets\HillValley.csv,0.361842105263158,0.485449314535165,0.638157894736842,0.687544065804935,0.591304347826087,0.661931092556545,0.712041884816754,9,0.406998934537931,0.19925221884942,1,0
Datasets\HillValley.csv,0.351973684210526,0.483686206868039,0.648026315789474,0.695663367469535,0.599118942731278,0.671000417235598,0.717678100263852,10,0.396437468854559,0.196237875481067,0,0
Datasets\HillValley.csv,0.315789473684211,0.419397224492342,0.684210526315789,0.754789272030651,0.620689655172414,0.717769058295964,0.75,11,0.37734891904282,0.178797115085424,1,0
Datasets\HillValley.csv,0.296052631578947,0.408104852355697,0.703947368421053,0.767302019514409,0.63716814159292,0.734260611220076,0.761904761904762,12,0.356174208929135,0.170428223267355,0,0
Datasets\HillValley.csv,0.289473684210526,0.404918907540816,0.710526315789474,0.775924665305196,0.641592920353982,0.741786847708191,0.767195767195767,13,0.34036990792252,0.165085024308861,0,0
