header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,StartMSE(training),performance(training),MaxSELabel,MinLabel
Datasets\Uci_imageseg.csv,0.714285714285714,0.718555088510493,0.285714285714286,0.0888888888888889,0,0.135593220338983,0,2,0,0.102547164690699,2,0
Datasets\Uci_imageseg.csv,0.553571428571429,0.581502385650515,0.446428571428571,0.329723502304147,0.258064516129032,0.379301936003732,0.41025641025641,3,0.6117075757543,0.0828857854268696,1,0
Datasets\Uci_imageseg.csv,0.428571428571429,0.470850468622898,0.571428571428571,0.433566433566434,0.307692307692308,0.493041749502982,0.470588235294118,4,0.48170208728597,0.0636495693689085,1,0
Datasets\Uci_imageseg.csv,0.357142857142857,0.412252990683111,0.642857142857143,0.683333333333333,1,0.662477558348294,0.4,5,0.362980501930012,0.049078041615979,1,0
Datasets\Uci_imageseg.csv,0.178571428571429,0.258557634934998,0.821428571428571,0.757142857142857,0.8,0.7879767291532,0.888888888888889,6,0.290318767432146,0.0289178728161899,0,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.180160506790415,0.892857142857143,0.910714285714286,1,0.901697312588402,1,7,0.186613977259462,0.013103032306159,6,0
Datasets\Uci_imageseg.csv,0.0892857142857143,0.175731492483423,0.910714285714286,0.921356421356421,1,0.916004444506955,1,8,0.0851133935596286,0.0105992187450481,1,0
Datasets\Uci_imageseg.csv,0.0892857142857143,0.158133159577314,0.910714285714286,0.923809523809524,1,0.917215166404005,1,9,0.0724711343573336,0.00951664109487337,6,0
Datasets\Uci_imageseg.csv,0.0892857142857143,0.165926491160456,0.910714285714286,0.923809523809524,1,0.917215166404005,1,10,0.0665688926221586,0.00921087248833129,6,0
Datasets\Uci_imageseg.csv,0.125,0.220732422908867,0.875,0.895238095238095,1,0.885003362474782,1,11,0.0634718249354554,0.00859440435014383,6,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.238466989060116,0.839285714285714,0.853785103785104,1,0.846473322944972,1,12,0.0550838173234309,0.00387854113874661,1,0
Datasets\Uci_imageseg.csv,0.160714285714286,95.4484813632782,0.839285714285714,0.863945578231292,0.888888888888889,0.851437130019257,0.941176470588235,13,0.026842444303591,0.00316315324132229,1,0
Datasets\Uci_imageseg.csv,0.160714285714286,26.7452749207062,0.839285714285714,0.878684807256236,0.888888888888889,0.858533481038018,0.941176470588235,14,0.0221417573299562,0.00293598514914306,1,0
Datasets\Uci_imageseg.csv,0.160714285714286,30.5581031200808,0.839285714285714,0.863945578231292,0.888888888888889,0.851437130019257,0.941176470588235,15,0.0166545887937011,0.00172588920497062,0,0
Datasets\Uci_imageseg.csv,0.142857142857143,19.0003551304526,0.857142857142857,0.872603586889301,0.888888888888889,0.864804126870627,0.941176470588235,16,0.0119384971739728,0.00155586194418198,0,0
Datasets\Uci_imageseg.csv,0.142857142857143,15.9582780678399,0.857142857142857,0.866269841269841,0.888888888888889,0.861682181507187,0.941176470588235,17,0.0107253967872842,0.00135183973855022,0,0
Datasets\Uci_imageseg.csv,0.142857142857143,35.4438708339857,0.857142857142857,0.879365079365079,0.888888888888889,0.868111778532254,0.941176470588235,18,0.00945962552584889,0.00116470686300317,0,0
Datasets\Uci_imageseg.csv,0.142857142857143,22.9810853829279,0.857142857142857,0.897435897435897,0.888888888888889,0.876826722338205,0.941176470588235,19,0.0081492135094278,0.0010551538306952,0,0
Datasets\Uci_imageseg.csv,0.142857142857143,27.4773703081194,0.857142857142857,0.879365079365079,0.888888888888889,0.868111778532254,0.941176470588235,20,0.00738366085211963,0.000968216885374857,0,0
