header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,StartMSE(training),performance(training),MaxSELabel,MinLabel
Datasets\Vote.csv,0.0458715596330275,0.072114364483207,0.949360341151386,0.953550932568149,0.951219512195122,0.951451022599328,0.939759036144578,2,0,0.0238382487376131,1,1
Datasets\Vote.csv,0.0458715596330275,2.17638471205224,0.953802416488984,0.949964763918252,0.930232558139535,0.951879722194597,0.941176470588235,3,0.022279507798508,0.0189143250393227,0,1
Datasets\Vote.csv,0.0642201834862385,3.27888850322905,0.92999289267946,0.934002869440459,0.926829268292683,0.931993567768602,0.91566265060241,4,0.0174303687472983,0.0117016458932715,0,1
Datasets\Vote.csv,0.0917431192660551,7.08905283850101,0.894278606965174,0.911230541141586,0.921052631578947,0.902674993157149,0.875,5,0.0108098227934247,0.00829925326835947,0,1
Datasets\Vote.csv,0.0825688073394495,3.4678007720171,0.910625444207534,0.914454806312769,0.902439024390244,0.912536107898688,0.891566265060241,6,0.00732591344861878,0.00604088143642049,0,1
Datasets\Vote.csv,0.0917431192660551,4.92595597635024,0.898720682302772,0.906521739130435,0.9,0.902604355227583,0.878048780487805,7,0.0058515225079761,0.0053743159360234,1,1
Datasets\Vote.csv,0.0825688073394495,6.64482502522066,0.910625444207534,0.914454806312769,0.902439024390244,0.912536107898688,0.891566265060241,8,0.00506493774090959,0.00356985039334329,0,1
Datasets\Vote.csv,0.0825688073394495,0.612506900288495,0.901741293532338,0.924361861861862,0.945945945945946,0.912911473314158,0.886075949367089,9,0.00473408475524865,0.00248995050702607,0,1
Datasets\Vote.csv,0.0642201834862385,1.0719160491451,0.925550817341862,0.938644688644689,0.948717948717949,0.932051768152859,0.91358024691358,10,0.00209243702267812,0.00141284070239197,0,1
Datasets\Vote.csv,0.0917431192660551,1.08799252888708,0.889836531627576,0.917427701674277,0.944444444444444,0.903421501996324,0.871794871794872,11,0.00138966191538512,0.00107580522892712,0,1
Datasets\Vote.csv,0.0917431192660551,1.25397061126398,0.894278606965174,0.911230541141586,0.921052631578947,0.902674993157149,0.875,12,0.000967946639778731,0.000789450003808702,0,1
Datasets\Vote.csv,0.0642201834862385,0.81236405325178,0.92999289267946,0.934002869440459,0.926829268292683,0.931993567768602,0.91566265060241,13,0.00064050809743475,0.000467975199283755,0,1
Datasets\Vote.csv,0.0825688073394495,4.62931032625537,0.906183368869936,0.918681318681319,0.923076923076923,0.912389546424527,0.888888888888889,14,0.000951755909603334,0.000392297990494675,0,1
Datasets\Vote.csv,0.0825688073394495,2.72727359821433,0.906183368869936,0.918681318681319,0.923076923076923,0.912389546424527,0.888888888888889,15,0.000361415543432757,0.000299279520976223,1,1
Datasets\Vote.csv,0.0825688073394495,2.92138907647142,0.906183368869936,0.918681318681319,0.923076923076923,0.912389546424527,0.888888888888889,16,0.000276703153160085,0.000240606825066449,0,1
Datasets\Vote.csv,0.0825688073394495,3.29546512775489,0.906183368869936,0.918681318681319,0.923076923076923,0.912389546424527,0.888888888888889,17,0.000222116084895665,0.000195011651293744,0,1
Datasets\Vote.csv,0.073394495412844,2.14495933527156,0.9136460554371,0.931430689399555,0.947368421052632,0.922452659667879,0.9,18,0.000168563554255493,0.000153138044838282,0,1
Datasets\Vote.csv,0.0825688073394495,1.91340948219047,0.901741293532338,0.924361861861862,0.945945945945946,0.912911473314158,0.886075949367089,19,0.000136838021165564,0.000121948988033712,0,1
Datasets\Vote.csv,0.0825688073394495,1.60111981123303,0.901741293532338,0.924361861861862,0.945945945945946,0.912911473314158,0.886075949367089,20,0.000106555459006077,8.73563188437922E-05,0,1
Datasets\Vote.csv,0.036697247706422,0.0690250501839314,0.965707178393746,0.958216783216783,0.931818181818182,0.961947399662499,0.953488372093023,2,0,0.0254546638938848,1,1
Datasets\Vote.csv,0.036697247706422,0.0964583636695448,0.965707178393746,0.958216783216783,0.931818181818182,0.961947399662499,0.953488372093023,3,0.0233006555968392,0.0199203214455476,0,1
Datasets\Vote.csv,0.0275229357798165,0.114229401006903,0.97316986496091,0.969168428470754,0.953488372093023,0.971165025010041,0.964705882352941,4,0.0183198607324724,0.0153451527675127,0,1
Datasets\Vote.csv,0.055045871559633,0.128933284477968,0.941897654584222,0.941897654584222,0.928571428571429,0.941897654584222,0.928571428571429,5,0.013841807965319,0.0114703091209886,0,1
Datasets\Vote.csv,0.0825688073394495,1.11451356347027,0.910625444207534,0.914454806312769,0.902439024390244,0.912536107898688,0.891566265060241,6,0.0115001675714578,0.00880522941985541,1,1
Datasets\Vote.csv,0.073394495412844,1.6550551986324,0.922530206112296,0.922530206112296,0.904761904761905,0.922530206112296,0.904761904761905,7,0.00757037064821705,0.0040794490733719,0,1
Datasets\Vote.csv,0.0642201834862385,1.44252232202861,0.92999289267946,0.934002869440459,0.926829268292683,0.931993567768602,0.91566265060241,8,0.00401666940698292,0.00317196291898589,0,1
Datasets\Vote.csv,0.073394495412844,1.34914125203183,0.922530206112296,0.922530206112296,0.904761904761905,0.922530206112296,0.904761904761905,9,0.00269747267172162,0.0021737284633597,1,1
Datasets\Vote.csv,0.073394495412844,0.701514004184754,0.922530206112296,0.922530206112296,0.904761904761905,0.922530206112296,0.904761904761905,10,0.00203832923890661,0.00159826142369857,1,1
Datasets\Vote.csv,0.055045871559633,1.06736807670032,0.941897654584222,0.941897654584222,0.928571428571429,0.941897654584222,0.928571428571429,11,0.0014356438477892,0.00111229113317168,0,1
Datasets\Vote.csv,0.055045871559633,0.651053323037272,0.941897654584222,0.941897654584222,0.928571428571429,0.941897654584222,0.928571428571429,12,0.00101797715764422,0.000809942411191758,1,1
Datasets\Vote.csv,0.055045871559633,0.913980660796567,0.941897654584222,0.941897654584222,0.928571428571429,0.941897654584222,0.928571428571429,13,0.000771545791111069,0.000619917726321909,0,1
Datasets\Vote.csv,0.055045871559633,1.05482652905778,0.941897654584222,0.941897654584222,0.928571428571429,0.941897654584222,0.928571428571429,14,0.000564950637479273,0.000422023984686662,0,1
Datasets\Vote.csv,0.055045871559633,0.909417111726936,0.941897654584222,0.941897654584222,0.928571428571429,0.941897654584222,0.928571428571429,15,0.00036690715091697,0.000249394473930245,0,1
Datasets\Vote.csv,0.0642201834862385,1.78315617422563,0.92999289267946,0.934002869440459,0.926829268292683,0.931993567768602,0.91566265060241,16,0.000239068514345763,0.000167387670397162,0,1
Datasets\Vote.csv,0.0642201834862385,1.96651866722784,0.92999289267946,0.934002869440459,0.926829268292683,0.931993567768602,0.91566265060241,17,0.000162082671629169,0.000131348788150695,0,1
Datasets\Vote.csv,0.0642201834862385,1.86228976837095,0.92999289267946,0.934002869440459,0.926829268292683,0.931993567768602,0.91566265060241,18,0.000118249765478533,0.000100628352385516,0,1
Datasets\Vote.csv,0.0642201834862385,1.98605945375856,0.92999289267946,0.934002869440459,0.926829268292683,0.931993567768602,0.91566265060241,19,9.36190357194384E-05,8.28671817673597E-05,0,1
Datasets\Vote.csv,0.0642201834862385,2.0681277719365,0.92999289267946,0.934002869440459,0.926829268292683,0.931993567768602,0.91566265060241,20,7.8501995010411E-05,7.25510903531008E-05,0,1
Datasets\Vote.csv,0.018348623853211,0.0470798178908075,0.985074626865672,0.977272727272727,0.954545454545455,0.981158167675022,0.976744186046512,2,0,0.0298880435341603,0,1
Datasets\Vote.csv,0.0275229357798165,0.04482540604571,0.977611940298508,0.966666666666667,0.933333333333333,0.972108495394064,0.96551724137931,3,0.0277527426559919,0.0182874970896007,1,1
Datasets\Vote.csv,0.018348623853211,0.054881166032984,0.985074626865672,0.977272727272727,0.954545454545455,0.981158167675022,0.976744186046512,4,0.0154943653244456,0.0136330450272537,1,1
Datasets\Vote.csv,0.0275229357798165,0.064819267209092,0.977611940298508,0.966666666666667,0.933333333333333,0.972108495394064,0.96551724137931,5,0.0109283405819066,0.00975185803361063,0,1
Datasets\Vote.csv,0.018348623853211,0.0733853204501752,0.985074626865672,0.977272727272727,0.954545454545455,0.981158167675022,0.976744186046512,6,0.00924188794947466,0.00830613657665082,0,1
Datasets\Vote.csv,0.018348623853211,0.101341131235497,0.985074626865672,0.977272727272727,0.954545454545455,0.981158167675022,0.976744186046512,7,0.00627236055535832,0.00529750243864532,0,1
Datasets\Vote.csv,0.036697247706422,0.0899128405668484,0.965707178393746,0.958216783216783,0.931818181818182,0.961947399662499,0.953488372093023,8,0.00480061935476925,0.0037883329191741,0,1
Datasets\Vote.csv,0.0275229357798165,0.0855345893642752,0.977611940298508,0.966666666666667,0.933333333333333,0.972108495394064,0.96551724137931,9,0.00321086040229758,0.00246090091597011,0,1
Datasets\Vote.csv,0.0275229357798165,0.0882616597824937,0.977611940298508,0.966666666666667,0.933333333333333,0.972108495394064,0.96551724137931,10,0.00185951358340454,0.00134522932908198,0,1
Datasets\Vote.csv,0.0275229357798165,0.0864985132401386,0.977611940298508,0.966666666666667,0.933333333333333,0.972108495394064,0.96551724137931,11,0.00109254869370311,0.000698655331313484,0,1
Datasets\Vote.csv,0.0275229357798165,0.0864128195557247,0.977611940298508,0.966666666666667,0.933333333333333,0.972108495394064,0.96551724137931,12,0.000622534787753494,0.000401129798421088,0,1
Datasets\Vote.csv,0.0275229357798165,0.0957763579204569,0.977611940298508,0.966666666666667,0.933333333333333,0.972108495394064,0.96551724137931,13,0.000339663171700738,0.000231592680964006,1,1
