header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,performance(training)
Datasets\Clean2.csv,0.0466384009691096,0.0855501444821405,0.860237934715433,0.957781799748686,0.963541666666667,0.906393062412713,0.827740492170022,5,0.0466783381889479
Datasets\Clean2.csv,0.049061175045427,0.0906482167527265,0.845984324962076,0.965154090188081,0.983333333333333,0.901648625684367,0.813793103448276,3,0.0926207478430284
Datasets\Clean2.csv,0.0242277407631738,0.0590810510440828,0.927979099949435,0.978426348117722,0.982062780269058,0.95253525719164,0.916317991631799,6,0.134889025632345
Datasets\Clean2.csv,0.0381586917019988,0.0733259030507124,0.88768891510759,0.963632546108106,0.966019417475728,0.924103077004634,0.863340563991323,4,0.178204253615614
Datasets\Clean2.csv,0.0575408843125379,0.0965078120018049,0.823341198943761,0.952470242307027,0.965116279069767,0.883210878185318,0.77751756440281,3,0.227484154071493
Datasets\Clean2.csv,0.0514839491217444,0.0975226516047519,0.846154278330243,0.952214760174685,0.956989247311828,0.896057011614091,0.807256235827664,2,0.280657003929684
Datasets\Clean2.csv,0.0411871592973955,0.0732575719498225,0.88109022978819,0.957647673987113,0.95609756097561,0.917775184159734,0.852173913043478,5,0.322995601194095
Datasets\Clean2.csv,0.0496668685645064,0.0884566334053673,0.858447103769875,0.945471620385563,0.939086294416244,0.899860246859615,0.81858407079646,3,0.368446283589587
Datasets\Clean2.csv,0.0339188370684434,0.0713240521029816,0.903017023428282,0.964682256915204,0.962790697674419,0.932831649464937,0.880851063829787,4,0.412673325637362
Datasets\Clean2.csv,0.0454270139309509,0.0867000724888926,0.865762121467498,0.956567781751876,0.959183673469388,0.908902554464935,0.83370288248337,5,0.458185256125767
Datasets\Clean2.csv,0.066626287098728,0.109527202485038,0.803545142985561,0.931433613619848,0.928994082840237,0.862775931276651,0.740566037735849,2,0.51052495632489
Datasets\Clean2.csv,0.0514839491217444,0.0820411305798883,0.849359514579471,0.948016859396952,0.947368421052632,0.895980553843768,0.808988764044944,5,0.555364521179074
Datasets\Clean2.csv,0.047244094488189,0.0838541714537223,0.858277150401708,0.957360324177006,0.963350785340314,0.905115148202096,0.825112107623318,3,0.604973792899083
Datasets\Clean2.csv,0.0545124167171411,0.0886831405761889,0.849171301758526,0.933943820303172,0.918781725888325,0.889542441588619,0.800884955752213,3,0.649578439734936
Datasets\Clean2.csv,0.0533010296789824,0.0845851376697779,0.841874543513681,0.948731610191365,0.951351351351351,0.892114650219638,0.8,3,0.695572727917244
Datasets\Clean2.csv,0.0533010296789824,0.0876653044856121,0.840271925389067,0.950894120099463,0.956284153005464,0.892167016173191,0.799086757990867,3,0.74592439032811
Datasets\Clean2.csv,0.0563294972743792,0.0947400694492654,0.824057531321984,0.958188028756405,0.976470588235294,0.886075498467845,0.781176470588235,3,0.79669747665877
Datasets\Clean2.csv,0.0642035130224107,0.108560003027702,0.811388280240463,0.933518189711139,0.930635838150289,0.868179162111675,0.752336448598131,2,0.84929481505151
Datasets\Clean2.csv,0.0502725620835857,0.099984684109465,0.846870610708467,0.957451616727424,0.967391304347826,0.898772539685484,0.810933940774487,3,0.898756133838076
Datasets\Clean2.csv,0.0375529981829194,0.0731993728149657,0.889649699421316,0.964047466109974,0.966183574879227,0.925355612988493,0.865800865800866,4,0.939638504374291
Datasets\Clean2.csv,0.0496668685645064,0.0801233163244405,0.856844485645261,0.947413003663004,0.943589743589744,0.899855605563804,0.817777777777778,5,0.985120233261872
Datasets\Clean2.csv,0.0478497880072683,0.0845829700080792,0.861124220461824,0.950778455712182,0.948979591836735,0.903733260371234,0.824833702882483,3,1.03015896027357
Datasets\Clean2.csv,0.047244094488189,0.0837052504163346,0.861482386650935,0.953228021978022,0.953846153846154,0.905036029430832,0.826666666666667,3,1.08032842475062
Datasets\Clean2.csv,0.0375529981829194,0.0722218789647838,0.891252317545929,0.962137249566989,0.961722488038278,0.925339247279362,0.866379310344828,4,1.12182957939459
Datasets\Clean2.csv,0.0581465778316172,0.101556489572697,0.821380414630035,0.952050734945472,0.964912280701754,0.881901536020186,0.774647887323944,2,1.17377122592296
Datasets\Clean2.csv,0.0405814657783162,0.0808648884709764,0.881448395977302,0.96000514926081,0.96078431372549,0.919051149711706,0.854030501089325,3,1.22142644809368
Datasets\Clean2.csv,0.0496668685645064,0.0935676850405457,0.85203663127142,0.953528181298359,0.957671957671958,0.899929965138728,0.815315315315315,3,1.27011142381437
Datasets\Clean2.csv,0.0387643852210781,0.0777016191888334,0.890535985167706,0.957553317535545,0.95260663507109,0.922829525320883,0.862660944206009,5,1.3094838485667
Datasets\Clean2.csv,0.0436099333737129,0.0795335819300559,0.873247092533288,0.955887802367473,0.955223880597015,0.91270058488575,0.842105263157895,4,1.35604756130668
Datasets\Clean2.csv,0.0563294972743792,0.103561334591875,0.835275858194281,0.942160502059809,0.940217391304348,0.885504470947429,0.788154897494305,2,1.40792722318448
