header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,performance(training)
Datasets\Connectionistbench.csv,0.150943396226415,0.452071094357005,0.848571428571429,0.848571428571429,0.84,0.848571428571429,0.84,11,0.0317210118396694
Datasets\Connectionistbench.csv,0.264150943396226,0.403023283477673,0.741428571428571,0.747800586510264,0.67741935483871,0.744600946891378,0.75,15,0.0712532301842542
Datasets\Connectionistbench.csv,0.169811320754717,0.387664496996776,0.828571428571429,0.830459770114943,0.833333333333333,0.829514524669669,0.816326530612245,9,0.098696712380931
Datasets\Connectionistbench.csv,0.169811320754717,0.363115968084978,0.832857142857143,0.832857142857143,0.785714285714286,0.832857142857143,0.830188679245283,11,0.130631907302407
Datasets\Connectionistbench.csv,0.226415094339623,0.498931359166474,0.777142857142857,0.778735632183908,0.724137931034483,0.777938429390098,0.777777777777778,14,0.168031071983332
Datasets\Connectionistbench.csv,0.150943396226415,0.460120644877249,0.852857142857143,0.854885057471264,0.793103448275862,0.853869896107268,0.851851851851852,12,0.200613965719903
Datasets\Connectionistbench.csv,0.169811320754717,0.646814503513576,0.835,0.839855072463768,0.766666666666667,0.837420499286116,0.836363636363636,9,0.227292571131215
Datasets\Connectionistbench.csv,0.169811320754717,0.397282972906495,0.832857142857143,0.832857142857143,0.785714285714286,0.832857142857143,0.830188679245283,10,0.254877924182368
Datasets\Connectionistbench.csv,0.207547169811321,0.652269821202906,0.788571428571428,0.796187683284457,0.818181818181818,0.792361254302346,0.765957446808511,7,0.278538956746804
Datasets\Connectionistbench.csv,0.169811320754717,1.28120065799558,0.830714285714286,0.82977207977208,0.807692307692308,0.830242915426312,0.823529411764706,12,0.314036198700527
Datasets\Connectionistbench.csv,0.207547169811321,0.462626128132666,0.790714285714286,0.792385057471264,0.791666666666667,0.79154878994303,0.775510204081633,13,0.351261895272395
Datasets\Connectionistbench.csv,0.226415094339623,0.586429940821722,0.781428571428571,0.798484848484849,0.696969696969697,0.78986464270057,0.793103448275862,12,0.383198981440761
Datasets\Connectionistbench.csv,0.150943396226415,1.23478088113977,0.846428571428572,0.851449275362319,0.869565217391304,0.848931500167668,0.833333333333333,9,0.418322296660144
Datasets\Connectionistbench.csv,0.207547169811321,0.904556619994947,0.790714285714286,0.792385057471264,0.791666666666667,0.79154878994303,0.775510204081633,10,0.447788675200589
Datasets\Connectionistbench.csv,0.169811320754717,0.302084071479053,0.835,0.839855072463768,0.766666666666667,0.837420499286116,0.836363636363636,12,0.481057164010491
Datasets\Connectionistbench.csv,0.150943396226415,0.342948649031459,0.848571428571429,0.848571428571429,0.84,0.848571428571429,0.84,7,0.505584271519661
Datasets\Connectionistbench.csv,0.188679245283019,0.94930245048638,0.815,0.816810344827586,0.758620689655172,0.815904168207512,0.814814814814815,13,0.541603427268753
Datasets\Connectionistbench.csv,0.169811320754717,0.296659352504688,0.826428571428572,0.835043988269795,0.863636363636364,0.830713942613785,0.808510638297872,11,0.573823103478765
Datasets\Connectionistbench.csv,0.150943396226415,0.585084248018889,0.848571428571429,0.848571428571429,0.84,0.848571428571429,0.84,13,0.609496434623819
Datasets\Connectionistbench.csv,0.188679245283019,0.566157120724175,0.808571428571428,0.81304347826087,0.826086956521739,0.810801286961851,0.791666666666667,13,0.644851732528028
Datasets\Connectionistbench.csv,0.169811320754717,0.37656240861478,0.826428571428572,0.835043988269795,0.863636363636364,0.830713942613785,0.808510638297872,9,0.670951606559791
Datasets\Connectionistbench.csv,0.264150943396226,0.503727339401008,0.745714285714286,0.773015873015873,0.657142857142857,0.759119684663163,0.766666666666667,12,0.703912020131626
Datasets\Connectionistbench.csv,0.132075471698113,0.315087812157417,0.868571428571429,0.867521367521368,0.846153846153846,0.868046080486124,0.862745098039216,9,0.732263335825833
Datasets\Connectionistbench.csv,0.207547169811321,0.718394275567277,0.795,0.795,0.75,0.795,0.792452830188679,10,0.761620311693049
Datasets\Connectionistbench.csv,0.226415094339623,0.611006000116902,0.781428571428571,0.798484848484849,0.696969696969697,0.78986464270057,0.793103448275862,12,0.794356359811292
Datasets\Connectionistbench.csv,0.169811320754717,0.612334255091919,0.828571428571429,0.830459770114943,0.833333333333333,0.829514524669669,0.816326530612245,12,0.826764084380921
Datasets\Connectionistbench.csv,0.150943396226415,0.408821434915119,0.848571428571429,0.848571428571429,0.84,0.848571428571429,0.84,10,0.856507741312477
Datasets\Connectionistbench.csv,0.169811320754717,0.445528577205963,0.832857142857143,0.832857142857143,0.785714285714286,0.832857142857143,0.830188679245283,13,0.891041823966687
Datasets\Connectionistbench.csv,0.188679245283019,2.03774896524285,0.812857142857143,0.811965811965812,0.777777777777778,0.8124112329323,0.807692307692308,10,0.922857679926228
Datasets\Connectionistbench.csv,0.207547169811321,0.738071927660464,0.792857142857143,0.792022792022792,0.769230769230769,0.792439747820393,0.784313725490196,12,0.956882008429245
