header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,performance(training)
Datasets\Wine.csv,0,0.00661344725293225,1,1,1,1,1,4,0.00784368617675163
Datasets\Wine.csv,0.0444444444444444,0.0710202867911585,0.962962962962963,0.952380952380952,0.857142857142857,0.957642725598527,0.923076923076923,5,0.0163972338150648
Datasets\Wine.csv,0,0.0249043310862066,1,1,1,1,1,3,0.0224403398254065
Datasets\Wine.csv,0.0222222222222222,0.0320167999875265,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,5,0.0309291828318063
Datasets\Wine.csv,0.0222222222222222,0.0312087127477959,0.977777777777778,0.982456140350877,1,0.980111376292761,1,4,0.0377695567294245
Datasets\Wine.csv,0.0222222222222222,0.05190106656857,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,4,0.0447359733640104
Datasets\Wine.csv,0.0444444444444444,6.20580911814876,0.959259259259259,0.952380952380952,0.857142857142857,0.95580773134053,0.923076923076923,4,0.0515743742120437
Datasets\Wine.csv,0,0.0302899237323622,1,1,1,1,1,8,0.0658653494754603
Datasets\Wine.csv,0.0222222222222222,0.0284447859757959,0.972222222222222,0.982456140350877,1,0.977312390924956,0.956521739130435,3,0.0714372995518445
Datasets\Wine.csv,0.0222222222222222,0.356704594648277,0.981481481481482,0.979166666666667,1,0.980322707595435,1,4,0.0783281482288732
Datasets\Wine.csv,0,0.00871406847202238,1,1,1,1,1,4,0.0857493256546313
Datasets\Wine.csv,0,0.0398456341619911,1,1,1,1,1,3,0.091094087328893
Datasets\Wine.csv,0,0.00804997306305205,1,1,1,1,1,5,0.0995263696077515
Datasets\Wine.csv,0.0444444444444444,13204.5923197114,0.962962962962963,0.953525641025641,0.923076923076923,0.958221065997708,0.96,4,0.106584672564478
Datasets\Wine.csv,0.0222222222222222,0.0685522721643935,0.977777777777778,0.982456140350877,1,0.980111376292761,1,6,0.116850062015545
Datasets\Wine.csv,0.0444444444444444,0.0336720655607746,0.962962962962963,0.952380952380952,0.857142857142857,0.957642725598527,0.923076923076923,5,0.125482621611955
Datasets\Wine.csv,0.0444444444444444,0.0606383161814964,0.959259259259259,0.955840455840456,0.923076923076923,0.957546805955018,0.96,3,0.130889483655984
Datasets\Wine.csv,0,0.00299225339883226,1,1,1,1,1,6,0.141129095107495
Datasets\Wine.csv,0.0222222222222222,0.0310864342989915,0.972222222222222,0.982456140350877,1,0.977312390924956,0.956521739130435,4,0.148014651794398
Datasets\Wine.csv,0.0222222222222222,0.183331334432606,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,5,0.156464803232099
Datasets\Wine.csv,0,0.00191430074232627,1,1,1,1,1,4,0.163632951851531
Datasets\Wine.csv,0,0.0321786316964326,1,1,1,1,1,4,0.170492592920127
Datasets\Wine.csv,0,0.00645514011160474,1,1,1,1,1,4,0.178019438405302
Datasets\Wine.csv,0.0444444444444444,0.058350495938943,0.962962962962963,0.952380952380952,0.857142857142857,0.957642725598527,0.923076923076923,6,0.188218251403165
Datasets\Wine.csv,0.0222222222222222,0.0610890507500943,0.977777777777778,0.982456140350877,1,0.980111376292761,1,6,0.198432319450586
Datasets\Wine.csv,0.0222222222222222,0.0403388778477148,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,5,0.206924668224961
Datasets\Wine.csv,0.0444444444444444,0.121739932862716,0.959259259259259,0.955840455840456,0.923076923076923,0.957546805955018,0.96,4,0.213691269966515
Datasets\Wine.csv,0,0.0101913007163381,1,1,1,1,1,4,0.22069002303014
Datasets\Wine.csv,0.0222222222222222,0.0764772986939348,0.972222222222222,0.982456140350877,1,0.977312390924956,0.956521739130435,8,0.237696988604223
Datasets\Wine.csv,0.0222222222222222,0.0340152651206403,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,5,0.246137834040444
