header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,performance(training)
Datasets\Clean2.csv,0.154451847365233,0.278706888744178,0.5,0.422774076317383,0,0.458155562848704,0,18,-13641.0857100758
Datasets\Clean2.csv,0.124772864930345,0.217779031508119,0.604091521995618,0.89449897794055,0.915254237288136,0.721156645568817,0.343949044585987,19,-26776.9451114782
Datasets\Clean2.csv,0.154451847365233,0.364094111316598,0.5,0.422774076317383,0,0.458155562848704,0,16,-40402.8653645709
Datasets\Clean2.csv,0.156874621441551,0.281640234618056,0.500169953368167,0.50612968591692,0.166666666666667,0.503132171612739,0.00766283524904215,19,-54058.5071198187
Datasets\Clean2.csv,0.127195639006663,0.258767134055574,0.634711219731446,0.800760768671132,0.718446601941748,0.708132026681952,0.41340782122905,18,-67055.3101385348
Datasets\Clean2.csv,0.143549364021805,0.282565934782942,0.621835496376201,0.725714285714286,0.571428571428571,0.66977103047632,0.377952755905512,18,-80507.0545356256
Datasets\Clean2.csv,0.145366444579043,0.270059642701812,0.53261700095511,0.874451754385965,0.894736842105263,0.662011531608616,0.124087591240876,16,-94068.853477318
Datasets\Clean2.csv,0.153846153846154,0.258957202157766,0.501960784313725,0.923030303030303,1,0.650284789805943,0.0078125,19,-107758.443709859
Datasets\Clean2.csv,0.154451847365233,0.273286672594271,0.5,0.422774076317383,0,0.458155562848704,0,18,-120583.27838723
Datasets\Clean2.csv,0.130829800121139,0.21797729876201,0.605317714478341,0.817182741116751,0.76,0.695472802442095,0.345454545454545,15,-133414.298724056
Datasets\Clean2.csv,0.138098122350091,0.218029866293744,0.552941176470588,0.929802955665025,1,0.693479514163711,0.191489361702128,20,-147157.180737664
Datasets\Clean2.csv,0.153846153846154,0.243786151236785,0.501960784313725,0.923030303030303,1,0.650284789805943,0.0078125,20,-160626.288345179
Datasets\Clean2.csv,0.152029073288916,0.240190363514373,0.541498117871791,0.700088040092103,0.543478260869565,0.610664598059169,0.166112956810631,18,-174080.640827863
Datasets\Clean2.csv,0.127801332525742,0.213863891350793,0.666405416034609,0.772971503354715,0.652777777777778,0.715743582291898,0.471177944862155,18,-187440.64170147
Datasets\Clean2.csv,0.154451847365233,0.243265993349148,0.5,0.422774076317383,0,0.458155562848704,0,19,-200279.483030285
Datasets\Clean2.csv,0.0399757722592368,0.0804041543117556,0.883409180291028,0.960432479843471,0.960975609756098,0.920312072438486,0.856521739130435,20,-218103.122000853
Datasets\Clean2.csv,0.0702604482132041,0.112340555197031,0.785369964604753,0.938097291702605,0.948387096774194,0.854966561254935,0.717073170731707,19,-234069.838455922
Datasets\Clean2.csv,0.130829800121139,0.220531479313084,0.610125568852183,0.808268459542345,0.740740740740741,0.695357205108568,0.357142857142857,19,-247965.75089511
Datasets\Clean2.csv,0.144155057540884,0.24405350408906,0.536538569582561,0.879988314344142,0.904761904761905,0.666627194704207,0.13768115942029,20,-261535.117055568
Datasets\Clean2.csv,0.136886735311932,0.217300604078384,0.556862745098039,0.930332922318126,1,0.696704214956781,0.204225352112676,18,-275274.81089956
Datasets\Clean2.csv,0.132041187159297,0.245332955284676,0.574151637732457,0.919871794871795,0.974358974358974,0.707011531417439,0.258503401360544,19,-289130.046048793
Datasets\Clean2.csv,0.149000605693519,0.288811264914613,0.530468003820439,0.766814268142681,0.68,0.627111682497798,0.121428571428571,20,-303454.297130824
Datasets\Clean2.csv,0.155057540884313,0.23760190294862,0.499641833810888,0.422727272727273,0,0.457977675640184,0,18,-316869.35175434
Datasets\Clean2.csv,0.132646880678377,0.218058789829192,0.607448452160234,0.797295931850332,0.719512195121951,0.689543500196677,0.350148367952522,20,-330864.5159368
Datasets\Clean2.csv,0.135069654754694,0.219849652142357,0.575566043036126,0.849604907465169,0.833333333333333,0.686238706397709,0.264026402640264,19,-344145.91288595
Datasets\Clean2.csv,0.152029073288916,0.249212374868616,0.507843137254902,0.923800850030358,1,0.655394673598672,0.0308880308880309,20,-357051.472916969
Datasets\Clean2.csv,0.162325863113265,0.244175303160743,0.509767402663071,0.569235364396655,0.290322580645161,0.537862630330747,0.0629370629370629,19,-371062.861819234
Datasets\Clean2.csv,0.145366444579043,0.31403575616056,0.529411764705882,0.926650366748166,1,0.673844330304228,0.111111111111111,20,-385299.081666024
Datasets\Clean2.csv,0.153240460327075,0.26227361118392,0.503921568627451,0.9232868405094,1,0.65199188847824,0.0155642023346304,19,-398996.074271981
Datasets\Clean2.csv,0.153240460327075,0.267099266330562,0.505524186752065,0.798497267759563,0.75,0.619099755623383,0.0231660231660232,16,-412035.285376447
