header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,performance(training)
Datasets\German_credit.csv,0.3,0.464631025864222,0.5,0.35,0,0.411764705882353,0,20,-1153.46752591609
Datasets\German_credit.csv,0.296,0.425231849047558,0.506666666666667,0.85140562248996,1,0.635281129248482,0.0263157894736842,20,-2294.20886893478
Datasets\German_credit.csv,0.292,98.0551946017482,0.608571428571429,0.638403263403263,0.519230769230769,0.623130507001294,0.425196850393701,12,-3922.14090708805
Datasets\German_credit.csv,0.308,0.409033864995315,0.498095238095238,0.474593495934959,0.25,0.486060446853774,0.0253164556962025,20,-5048.58167085246
Datasets\German_credit.csv,0.28,0.387770776568693,0.567619047619048,0.66998659260678,0.608695652173913,0.614569195957443,0.285714285714286,20,-6165.32059218636
Datasets\German_credit.csv,0.272,7.28595544688408,0.664761904761905,0.673152374089198,0.550724637681159,0.668930829826856,0.527777777777778,13,-7942.04137073576
Datasets\German_credit.csv,0.272,0.453304313593894,0.638095238095238,0.668997668997669,0.563636363636364,0.653181154251163,0.476923076923077,8,-9622.17134431745
Datasets\German_credit.csv,0.268,0.440866983576665,0.663809523809524,0.677042160737813,0.560606060606061,0.670360546953502,0.524822695035461,10,-11444.3512940612
Datasets\German_credit.csv,0.304,0.406457074423038,0.52,0.585199610516066,0.461538461538462,0.550676628136453,0.136363636363636,20,-12562.9237681587
Datasets\German_credit.csv,0.296,0.426604287114578,0.506666666666667,0.85140562248996,1,0.635281129248482,0.0263157894736842,20,-13694.7961058588
Datasets\German_credit.csv,0.304,0.385556382206271,0.523809523809524,0.588652482269504,0.466666666666667,0.554341226472374,0.155555555555556,20,-14829.4811666989
Datasets\German_credit.csv,0.3,0.40296874077589,0.5,0.35,0,0.411764705882353,0,18,-15977.1422810007
Datasets\German_credit.csv,0.292,0.463896678858132,0.616190476190476,0.640371870397644,0.517857142857143,0.628048498875878,0.442748091603053,10,-17810.0529868223
Datasets\German_credit.csv,0.28,0.987743825837953,0.624761904761905,0.656833636624844,0.547169811320755,0.640396475607885,0.453125,11,-19566.3891687487
Datasets\German_credit.csv,0.308,0.49347089781836,0.494285714285714,0.348790322580645,0,0.408983451536643,0,20,-20673.5979872208
Datasets\German_credit.csv,0.3,0.398301952772734,0.503809523809524,0.600806451612903,0.5,0.548049311296681,0.025974025974026,20,-21781.5420496888
Datasets\German_credit.csv,0.252,0.546218656523882,0.652380952380952,0.7,0.62,0.675352112676056,0.496,7,-23404.1205988354
Datasets\German_credit.csv,0.288,0.393147446521791,0.539047619047619,0.666342096721844,0.615384615384615,0.595973428360998,0.181818181818182,20,-24521.9279080234
Datasets\German_credit.csv,0.304,0.387894961929689,0.531428571428571,0.593984962406015,0.473684210526316,0.560968160647477,0.191489361702128,19,-25636.5033170486
Datasets\German_credit.csv,0.296,0.412957303866944,0.506666666666667,0.85140562248996,1,0.635281129248482,0.0263157894736842,18,-26773.4091374702
Datasets\German_credit.csv,0.3,0.504648233478425,0.5,0.35,0,0.411764705882353,0,20,-27938.7035975753
Datasets\German_credit.csv,0.288,0.394172743583985,0.52,0.854251012145749,1,0.646476549611124,0.0769230769230769,20,-29081.728814458
Datasets\German_credit.csv,0.312,0.402239715350177,0.499047619047619,0.49265138154027,0.285714285714286,0.495828873140834,0.0487804878048781,20,-30192.1850238255
Datasets\German_credit.csv,0.26,9.76501259620887,0.66952380952381,0.686911962365591,0.578125,0.678106436561871,0.532374100719424,12,-31897.5498916583
Datasets\German_credit.csv,0.28,0.798005570768957,0.632380952380952,0.657940187255704,0.543859649122807,0.644907425671761,0.46969696969697,12,-33560.0431880755
Datasets\German_credit.csv,0.304,0.423475781336795,0.546666666666667,0.601727287825943,0.481481481481481,0.572877015576973,0.254901960784314,19,-34688.0214881472
Datasets\German_credit.csv,0.3,0.411189924637747,0.5,0.35,0,0.411764705882353,0,20,-35824.1336426274
Datasets\German_credit.csv,0.3,0.393081431338371,0.522857142857143,0.605042016806723,0.5,0.560955361134172,0.137931034482759,17,-36946.3901013805
Datasets\German_credit.csv,0.288,0.397053512641744,0.539047619047619,0.666342096721844,0.615384615384615,0.595973428360998,0.181818181818182,19,-38065.6457324232
Datasets\German_credit.csv,0.32,8.38356643997855,0.55047619047619,0.580507959654879,0.435897435897436,0.565093348363707,0.298245614035088,12,-39793.9061794843
