header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,performance(training),MaxSELabel,MinLabel
Datasets\Uci_imageseg.csv,0.714285714285714,0.718232621299332,0.285714285714286,0.0825806451612903,0,0.128128128128128,0,2,0.102534700929633,2,0
Datasets\Uci_imageseg.csv,0.571428571428571,0.571477314378552,0.428571428571429,0.314285714285714,0,0.362637362637363,0,3,0.0816336199059828,2,0
Datasets\Uci_imageseg.csv,0.428571428571429,0.462491891434886,0.571428571428571,0.421768707482993,0.285714285714286,0.4853228962818,0.444444444444444,4,0.0615605828279827,1,0
Datasets\Uci_imageseg.csv,0.303571428571429,0.355239865255949,0.696428571428571,0.549760765550239,0.727272727272727,0.61446377884734,0.842105263157895,5,0.045039773155913,0,0
Datasets\Uci_imageseg.csv,0.232142857142857,0.278623624601432,0.767857142857143,0.720238095238095,0.666666666666667,0.743285714285714,0.8,6,0.0273166009583507,6,0
Datasets\Uci_imageseg.csv,0.142857142857143,0.227346562752529,0.857142857142857,0.877380952380952,0.8,0.86714383763114,0.888888888888889,7,0.0124414342728087,6,0
Datasets\Uci_imageseg.csv,0.142857142857143,0.241138685010495,0.857142857142857,0.872448979591837,1,0.86472819216182,1,8,0.0064848138296491,1,0
Datasets\Uci_imageseg.csv,0.142857142857143,0.29214964570313,0.857142857142857,0.888888888888889,1,0.872727272727273,1,9,0.0127418551305889,1,0
Datasets\Uci_imageseg.csv,0.178571428571429,0.350779683947774,0.821428571428571,0.845521541950113,0.888888888888889,0.83330094493162,0.941176470588235,10,0.0147433537048524,2,0
Datasets\Uci_imageseg.csv,0.142857142857143,0.303588159708556,0.857142857142857,0.880952380952381,1,0.868884540117417,1,11,0.0109055761609613,0,0
Datasets\Uci_imageseg.csv,0.142857142857143,0.262570634526927,0.857142857142857,0.86984126984127,1,0.86344537815126,1,12,0.0156813325626751,2,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.39739590305472,0.839285714285714,0.845238095238095,1,0.842251388187784,1,13,0.013322045629033,0,0
Datasets\Uci_imageseg.csv,0.178571428571429,0.325416176943663,0.821428571428571,0.821712018140589,0.888888888888889,0.821570270336874,0.941176470588235,14,0.0161898862173331,1,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.452291880750484,0.839285714285714,0.885714285714286,1,0.861875184856551,1,15,0.0146401207651347,2,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.356148588952975,0.839285714285714,0.865759637188209,1,0.852317147891839,1,16,0.0135199257624679,1,0
Datasets\Uci_imageseg.csv,0.125,0.393947319473636,0.875,0.873412698412698,0.888888888888889,0.874205628688153,0.941176470588235,17,0.00828790420608811,0,0
Datasets\Uci_imageseg.csv,0.125,0.319029971370467,0.875,0.887698412698413,1,0.881303466906799,1,18,0.0115349994660042,1,0
Datasets\Uci_imageseg.csv,0.142857142857143,0.395981250277219,0.857142857142857,0.881562881562882,0.888888888888889,0.869181380417336,0.941176470588235,19,0.0124080416678003,0,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.421358500338225,0.839285714285714,0.843181818181818,1,0.841229255113856,1,20,0.0114621027679884,1,0
Datasets\Uci_imageseg.csv,0.714285714285714,0.717140293243825,0.285714285714286,0.166666666666667,0.166666666666667,0.210526315789474,0.285714285714286,2,0.102040834849737,3,0
Datasets\Uci_imageseg.csv,0.571428571428571,0.575000690639203,0.428571428571429,0.314285714285714,0,0.362637362637363,0,3,0.0816330130960255,2,0
Datasets\Uci_imageseg.csv,0.428571428571429,0.441417536429592,0.571428571428571,0.434920634920635,0.266666666666667,0.493916178458765,0.421052631578947,4,0.0613484136452489,1,0
Datasets\Uci_imageseg.csv,0.303571428571429,0.358342054829267,0.696428571428571,0.553968253968254,0.4,0.617083012195675,0.571428571428572,5,0.0442904566227977,1,0
Datasets\Uci_imageseg.csv,0.214285714285714,48.1735733707133,0.785714285714286,0.712925170068027,0.888888888888889,0.747552039426756,0.941176470588235,6,0.0256024707560856,6,0
Datasets\Uci_imageseg.csv,0.107142857142857,9742.61114776839,0.892857142857143,0.895691609977324,1,0.894272130405252,1,7,0.011054628376199,6,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.263554445038038,0.892857142857143,0.908884766027623,1,0.900799666567236,1,8,0.0157972615749761,0,0
Datasets\Uci_imageseg.csv,0.0892857142857143,0.321415943095371,0.910714285714286,0.919274376417234,1,0.914974310408157,1,9,0.0174347664263701,0,0
Datasets\Uci_imageseg.csv,0.107142857142857,2.26088345092397,0.892857142857143,0.898469387755102,1,0.895654473694918,1,10,0.0103395651318877,2,0
