header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,StartMSE(training),performance(training),MaxSELabel,MinLabel
Datasets\Climate.csv,0.0588235294117647,0.0957630698936189,0.741935483870968,0.8515625,0.75,0.792978016764194,0.6,2,0,0.0198730932977395,0,0
Datasets\Climate.csv,0.0588235294117647,0.0963708353293095,0.741935483870968,0.8515625,0.75,0.792978016764194,0.6,3,0.0353839169433782,0.0159995027638305,0,0
Datasets\Climate.csv,0.0588235294117647,0.110136817297144,0.741935483870968,0.8515625,0.75,0.792978016764194,0.6,4,0.0310877530614026,0.0117533647819076,1,0
Datasets\Climate.csv,0.0661764705882353,0.112151254461405,0.700268817204301,0.830011074197121,0.714285714285714,0.75963995405076,0.526315789473684,5,0.0213219240583687,0.00691701262240369,0,0
Datasets\Climate.csv,0.0808823529411765,0.112009451369514,0.654569892473118,0.754706533776301,0.571428571428571,0.701080590665158,0.421052631578947,6,0.0133871831354058,0.0058495273500103,0,0
Datasets\Climate.csv,0.0588235294117647,0.111076846716104,0.704301075268817,0.88974358974359,0.833333333333333,0.786235644112356,0.555555555555556,7,0.0105769257984042,0.00377454889489038,0,0
Datasets\Climate.csv,0.0661764705882353,0.121530171283305,0.662634408602151,0.869465648854962,0.8,0.752089073066327,0.470588235294118,8,0.0071956915582677,0.00239168751499126,0,0
Datasets\Climate.csv,0.0661764705882353,0.142043364308352,0.662634408602151,0.869465648854962,0.8,0.752089073066327,0.470588235294118,9,0.00422334763298868,0.00125813484466248,0,0
Datasets\Climate.csv,0.0661764705882353,0.156696552287318,0.700268817204301,0.830011074197121,0.714285714285714,0.75963995405076,0.526315789473684,10,0.00246591179722531,0.000849210470071537,1,0
Datasets\Climate.csv,0.0735294117647059,0.163678846907757,0.658602150537634,0.802564102564103,0.666666666666667,0.723491173945449,0.444444444444444,11,0.00158642150244236,0.000626325297627158,1,0
Datasets\Climate.csv,0.0661764705882353,0.156176409550076,0.700268817204301,0.830011074197121,0.714285714285714,0.75963995405076,0.526315789473684,12,0.00121593727515944,0.000532575937849603,1,0
Datasets\Climate.csv,0.0588235294117647,0.158207734965666,0.704301075268817,0.88974358974359,0.833333333333333,0.786235644112356,0.555555555555556,13,0.00105640552457531,0.000472507996272444,1,0
Datasets\Climate.csv,0.0514705882352941,0.148738523429166,0.708333333333333,0.973282442748092,1,0.819935691318328,0.588235294117647,14,0.000929306989618787,0.000339365939901288,1,0
Datasets\Climate.csv,0.0588235294117647,0.154295292564128,0.666666666666667,0.96969696969697,1,0.790123456790123,0.5,15,0.000674661970507412,0.0002641929417363,1,0
