header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,StartMSE(training),performance(training),MaxSELabel,MinLabel
Datasets\Wine.csv,0.266666666666667,0.279556645085058,0.666666666666667,0.508403361344538,0,0.576877234803337,0,2,0,0.0935371547177907,2,2
Datasets\Wine.csv,0,0.00260572331297346,1,1,1,1,1,3,0.500149207011894,0.00201546844918731,2,2
Datasets\Wine.csv,0.0222222222222222,0.0695959687540618,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,4,0.413697850416715,0.019576013153182,0,2
Datasets\Wine.csv,0.0222222222222222,0.0158584865839682,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,5,0.0621512916241506,0.00102543888432378,0,2
Datasets\Wine.csv,0,0.00747946028117039,1,1,1,1,1,6,0.30867816946174,0.00275628445436163,2,2
Datasets\Wine.csv,0,0.0104905672932841,1,1,1,1,1,7,0.345791222731994,0.00279068209238578,0,2
Datasets\Wine.csv,0,0.0124927294365268,1,1,1,1,1,8,0.159741690288931,0.000863183364290842,2,2
Datasets\Wine.csv,0.0222222222222222,0.0675718809569942,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,9,0.326478639312241,0.0148628246359196,2,2
Datasets\Wine.csv,0.0222222222222222,0.0782100878127474,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,10,0.0490549901807221,0.0110283955465437,2,2
Datasets\Wine.csv,0.0444444444444444,0.085203547046684,0.959259259259259,0.955840455840456,0.923076923076923,0.957546805955018,0.96,11,0.0350856787429423,0.00871498079473058,1,2
Datasets\Wine.csv,0.0444444444444444,0.0897556202384472,0.959259259259259,0.955840455840456,0.923076923076923,0.957546805955018,0.96,12,0.02703111713705,0.00671648618655658,1,2
Datasets\Wine.csv,0.0666666666666667,0.0918668154422046,0.937037037037037,0.939271255060729,0.923076923076923,0.93815281584899,0.96,13,0.0211578939940822,0.00570399167448867,1,2
Datasets\Wine.csv,0.0222222222222222,0.0889092474208607,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,14,0.0177021547950673,0.00460374260386381,0,2
Datasets\Wine.csv,0.0222222222222222,0.0920639048623558,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,15,0.0137914067611313,0.00410542561047767,0,2
Datasets\Wine.csv,0.0444444444444444,0.092138325781746,0.959259259259259,0.955840455840456,0.923076923076923,0.957546805955018,0.96,16,0.0124038347044386,0.00364975593780217,0,2
Datasets\Wine.csv,0,0.0868962212141895,1,1,1,1,1,17,0.011037755657694,0.00323305425094472,0,2
Datasets\Wine.csv,0,0.0859690608772001,1,1,1,1,1,18,0.00972085728111202,0.00268482973841539,0,2
Datasets\Wine.csv,0,0.0860110580128205,1,1,1,1,1,19,0.00809183082013856,0.00244359453261244,0,2
Datasets\Wine.csv,0,0.087242538448175,1,1,1,1,1,20,0.00736697648931173,0.00230253032475991,0,2
Datasets\Wine.csv,0.288888888888889,0.337961035718016,0.648148148148148,0.511904761904762,0,0.572025845686051,0,2,0,0.101170956713968,2,2
Datasets\Wine.csv,0,0.0348732976082079,1,1,1,1,1,3,0.492531121183868,0.00107472223971493,1,2
Datasets\Wine.csv,0,0.0201097273854279,1,1,1,1,1,4,0.392673905596221,0.0018154003645975,2,2
Datasets\Wine.csv,0.0222222222222222,0.0524644974597136,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,5,0.424794592571268,0.000662304065735117,0,2
Datasets\Wine.csv,0,0.0398844692460232,1,1,1,1,1,6,0.325088605766107,0.00463035765709404,2,2
Datasets\Wine.csv,0.0222222222222222,0.127823333073495,0.981481481481482,0.979166666666667,1,0.980322707595435,1,7,0.16284846595153,0.00639984889236633,1,2
Datasets\Wine.csv,0.0222222222222222,0.173009459146231,0.981481481481482,0.979166666666667,1,0.980322707595435,1,8,0.0288835810310617,0.00552176048353105,1,2
Datasets\Wine.csv,0.0222222222222222,0.188291636324054,0.981481481481482,0.979166666666667,1,0.980322707595435,1,9,0.0246641953663497,0.00496751200092133,1,2
Datasets\Wine.csv,0.0222222222222222,0.182418767283944,0.981481481481482,0.979166666666667,1,0.980322707595435,1,10,0.0196545012398775,0.00454683049251839,1,2
Datasets\Wine.csv,0.0222222222222222,0.222771225106897,0.981481481481482,0.979166666666667,1,0.980322707595435,1,11,0.0163212698035308,0.0037634066564396,1,2
Datasets\Wine.csv,0.0222222222222222,0.209694792679448,0.981481481481482,0.979166666666667,1,0.980322707595435,1,12,0.0129733634702969,0.00295546218003911,0,2
Datasets\Wine.csv,0.0222222222222222,0.287174870356031,0.981481481481482,0.979166666666667,1,0.980322707595435,1,13,0.0122176263024158,0.00258127254251954,0,2
Datasets\Wine.csv,0.0222222222222222,0.296337735587183,0.981481481481482,0.979166666666667,1,0.980322707595435,1,14,0.00847215086788796,0.00221286470222285,0,2
Datasets\Wine.csv,0.0222222222222222,0.5292710045351,0.981481481481482,0.979166666666667,1,0.980322707595435,1,15,0.00723647234362564,0.00162812339939852,0,2
Datasets\Wine.csv,0.0222222222222222,0.613617728437192,0.981481481481482,0.979166666666667,1,0.980322707595435,1,16,0.00570472470084558,0.00151360463837745,1,2
Datasets\Wine.csv,0.0444444444444444,0.961143256104472,0.959259259259259,0.959259259259259,1,0.959259259259259,1,17,0.00492640374815962,0.00132492068342404,1,2
Datasets\Wine.csv,0.0444444444444444,1.05047122973644,0.959259259259259,0.959259259259259,1,0.959259259259259,1,18,0.00427392806930783,0.00123536315245264,1,2
Datasets\Wine.csv,0.0444444444444444,1.52389089850264,0.959259259259259,0.959259259259259,1,0.959259259259259,1,19,0.00386764386049542,0.00107249346393705,1,2
Datasets\Wine.csv,0.0444444444444444,1.85767783051137,0.959259259259259,0.959259259259259,1,0.959259259259259,1,20,0.00340340164602691,0.000895518208149661,1,2
Datasets\Wine.csv,0.266666666666667,0.286913913798559,0.666666666666667,0.519396551724138,0,0.583888552392489,0,2,0,0.0922328277513288,2,2
Datasets\Wine.csv,0,0.0155625910593367,1,1,1,1,1,3,0.454256150943396,0.00165182689139146,1,2
Datasets\Wine.csv,0.0222222222222222,0.102207907955213,0.981481481481482,0.979166666666667,1,0.980322707595435,1,4,0.40629969230114,0.018406290554845,1,2
Datasets\Wine.csv,0.0222222222222222,0.109719447115427,0.981481481481482,0.979166666666667,1,0.980322707595435,1,5,0.0595601582441884,0.0139279930241172,1,2
Datasets\Wine.csv,0.0222222222222222,0.0970740287354887,0.981481481481482,0.979166666666667,1,0.980322707595435,1,6,0.0450252121953458,0.010743860125727,2,2
Datasets\Wine.csv,0.0222222222222222,0.100444314412054,0.981481481481482,0.979166666666667,1,0.980322707595435,1,7,0.0348321842710919,0.0096615601456963,2,2
Datasets\Wine.csv,0.0222222222222222,0.108215211749564,0.981481481481482,0.979166666666667,1,0.980322707595435,1,8,0.0306010683354174,0.00863961541937048,2,2
Datasets\Wine.csv,0.0444444444444444,0.113102767904734,0.962962962962963,0.96078431372549,1,0.961872404681012,1,9,0.0279858964189619,0.00756425033825101,2,2
