header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,StartMSE(training),performance(training),MaxSELabel,MinLabel
Datasets\Hepatitis.csv,0.0952380952380952,0.404389165188023,0.75,0.947368421052632,1,0.837209302325581,0.666666666666667,2,0,0.00437360446963612,1,0
Datasets\Hepatitis.csv,0.0952380952380952,0.355970686770861,0.75,0.947368421052632,1,0.837209302325581,0.666666666666667,3,0.00874720893927225,0.000259522520780465,1,0
Datasets\Hepatitis.csv,0.0952380952380952,0.37532800470109,0.75,0.947368421052632,1,0.837209302325581,0.666666666666667,4,0.000522708878451393,9.3720921561958E-05,1,0
Datasets\Hepatitis.csv,0.0952380952380952,0.349821671639102,0.75,0.947368421052632,1,0.837209302325581,0.666666666666667,5,0.000187929674991695,4.92210735009187E-05,1,0
Datasets\Hepatitis.csv,0.142857142857143,0.293457993877946,0.625,0.925,1,0.745967741935484,0.4,6,0.0615893312170849,3.82473483023042E-05,1,0
Datasets\Hepatitis.csv,0.19047619047619,0.345845023020428,0.5,0.404761904761905,0,0.447368421052632,0,7,0.00587463152266826,1.75069355071595E-05,1,0
Datasets\Hepatitis.csv,0.19047619047619,42.7091756959509,0.595588235294118,0.671052631578947,0.5,0.631072410632447,0.333333333333333,8,0.0367477557798511,4.43372427918479E-06,1,0
Datasets\Hepatitis.csv,0.19047619047619,44.3583322462442,0.595588235294118,0.671052631578947,0.5,0.631072410632447,0.333333333333333,9,8.86744855836958E-06,2.81156686254685E-06,1,0
Datasets\Hepatitis.csv,0.142857142857143,0.258456284550088,0.625,0.925,1,0.745967741935484,0.4,10,0.0851185166449918,7.52193789441585E-05,1,0
Datasets\Hepatitis.csv,0.0952380952380952,0.212513084692943,0.75,0.947368421052632,1,0.837209302325581,0.666666666666667,11,0.000148931569881014,1.26397942386612E-05,1,0
Datasets\Hepatitis.csv,0.142857142857143,0.226921748155109,0.625,0.925,1,0.745967741935484,0.4,12,0.000759402838657503,1.16820393091716E-05,1,0
