header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,StartMSE(training),performance(training),MaxSELabel,MinLabel
Datasets\Ionosphere.csv,0.0898876404494382,0.143739612028633,0.888706140350877,0.915105386416862,0.928571428571429,0.901712583502682,0.866666666666667,2,0,0.0374860083259409,0,0
Datasets\Ionosphere.csv,0.0786516853932584,0.165840212055035,0.904331140350877,0.923850574712644,0.931034482758621,0.913986653361392,0.885245901639344,3,0.124538149148567,0.0245229437066434,0,0
Datasets\Ionosphere.csv,0.0786516853932584,0.20175761774215,0.904331140350877,0.923850574712644,0.931034482758621,0.913986653361392,0.885245901639344,4,0.0583987628814798,0.0194215427206046,0,0
Datasets\Ionosphere.csv,0.0786516853932584,0.195663163739093,0.904331140350877,0.923850574712644,0.931034482758621,0.913986653361392,0.885245901639344,5,0.0394722288691339,0.0151005023347537,0,0
Datasets\Ionosphere.csv,0.0898876404494382,0.175412997298948,0.895559210526316,0.907627118644068,0.9,0.901552782067872,0.870967741935484,6,0.0794595307781632,0.0125759559803871,0,0
Datasets\Ionosphere.csv,0.0898876404494382,0.161588583307659,0.895559210526316,0.907627118644068,0.9,0.901552782067872,0.870967741935484,7,0.0252123262200562,0.00860383401100266,0,0
Datasets\Ionosphere.csv,0.101123595505618,0.162865566353074,0.873081140350877,0.906511350059737,0.925925925925926,0.889482246655864,0.847457627118644,8,0.0172642986072714,0.00721032820204744,1,0
Datasets\Ionosphere.csv,0.0786516853932584,0.153275865172322,0.904331140350877,0.923850574712644,0.931034482758621,0.913986653361392,0.885245901639344,9,0.0143996699164019,0.0060115693701089,0,0
Datasets\Ionosphere.csv,0.0786516853932584,0.145747427589014,0.904331140350877,0.923850574712644,0.931034482758621,0.913986653361392,0.885245901639344,10,0.0120231387402178,0.00457213600568581,1,0
Datasets\Ionosphere.csv,0.0786516853932584,0.145982982737345,0.904331140350877,0.923850574712644,0.931034482758621,0.913986653361392,0.885245901639344,11,0.00908021247207028,0.00387315537535275,1,0
Datasets\Ionosphere.csv,0.0786516853932584,0.141982211708719,0.904331140350877,0.923850574712644,0.931034482758621,0.913986653361392,0.885245901639344,12,0.0305449870379059,0.00378873797588844,0,0
Datasets\Ionosphere.csv,0.101123595505618,0.154687705950731,0.879934210526316,0.898275862068965,0.896551724137931,0.889010442248688,0.852459016393443,13,0.056532647103419,0.00348374887856604,1,0
Datasets\Ionosphere.csv,0.112359550561798,0.26018811597623,0.857456140350877,0.898046398046398,0.923076923076923,0.877282010686117,0.827586206896552,14,0.126089406164732,0.00652836645926645,0,0
Datasets\Ionosphere.csv,0.112359550561798,0.273366141504094,0.857456140350877,0.898046398046398,0.923076923076923,0.877282010686117,0.827586206896552,15,0.0136261491595366,0.00433371813156683,1,0
Datasets\Ionosphere.csv,0.112359550561798,0.293098585780966,0.857456140350877,0.898046398046398,0.923076923076923,0.877282010686117,0.827586206896552,16,0.0116347161562194,0.00362912964929833,0,0
Datasets\Ionosphere.csv,0.0898876404494382,0.249391675204533,0.881853070175439,0.925213675213675,0.961538461538462,0.903013153373915,0.862068965517241,17,0.0219751108746066,0.00334228451043488,1,0
Datasets\Ionosphere.csv,0.134831460674157,0.1988593196722,0.839912280701754,0.862997658079625,0.857142857142857,0.851298491753047,0.8,18,0.0569690665852082,0.00341132843805717,1,0
Datasets\Ionosphere.csv,0.101123595505618,0.21941411498034,0.873081140350877,0.906511350059737,0.925925925925926,0.889482246655864,0.847457627118644,19,0.00824607016598498,0.00264478369444747,0,0
Datasets\Ionosphere.csv,0.101123595505618,0.190820630306166,0.873081140350877,0.906511350059737,0.925925925925926,0.889482246655864,0.847457627118644,20,0.00531221744918173,0.00216498631316222,0,0
Datasets\Ionosphere.csv,0.0898876404494382,0.137829067061905,0.902412280701754,0.902412280701754,0.875,0.902412280701754,0.875,2,0,0.0386640942743446,0,0
Datasets\Ionosphere.csv,0.0898876404494382,0.145451673240606,0.902412280701754,0.902412280701754,0.875,0.902412280701754,0.875,3,0.0780460655073286,0.0358465334197751,0,0
Datasets\Ionosphere.csv,0.112359550561798,0.149299962456269,0.871162280701754,0.882485875706215,0.866666666666667,0.876787519044909,0.838709677419355,4,0.0715143991967714,0.0288010363060392,0,0
Datasets\Ionosphere.csv,0.101123595505618,0.23283101434302,0.866228070175439,0.9175,0.96,0.891127148442302,0.842105263157895,5,0.0575900981998412,0.0203843205657646,0,0
Datasets\Ionosphere.csv,0.0674157303370786,0.180951777061672,0.919956140350877,0.932768361581921,0.933333333333333,0.926317950528665,0.903225806451613,6,0.121739010324736,0.0200717749225731,0,0
Datasets\Ionosphere.csv,0.123595505617978,0.205211121251269,0.855537280701754,0.872701149425287,0.862068965517241,0.864033984234133,0.819672131147541,7,0.17173832034412,0.0209806275971898,0,0
Datasets\Ionosphere.csv,0.134831460674157,0.210915082233489,0.853618421052632,0.853618421052632,0.8125,0.853618421052632,0.8125,8,0.0419322055968389,0.0158298773609751,0,0
Datasets\Ionosphere.csv,0.134831460674157,0.726355914802942,0.853618421052632,0.853618421052632,0.8125,0.853618421052632,0.8125,9,0.0317803246359284,0.0116511050983964,0,0
Datasets\Ionosphere.csv,0.134831460674157,2.08256123977915,0.853618421052632,0.853618421052632,0.8125,0.853618421052632,0.8125,10,0.0601965583586738,0.00918936568244707,0,0
Datasets\Ionosphere.csv,0.146067415730337,1.6480954515791,0.837993421052632,0.842880978865406,0.806451612903226,0.840430094067771,0.793650793650794,11,0.0183799691159351,0.00633413654398319,1,0
Datasets\Ionosphere.csv,0.146067415730337,1.19537658131216,0.837993421052632,0.842880978865406,0.806451612903226,0.840430094067771,0.793650793650794,12,0.0674036134512207,0.00700082528525489,0,0
Datasets\Ionosphere.csv,0.157303370786517,2.53517771264239,0.822368421052632,0.832203389830509,0.8,0.827256675337979,0.774193548387097,13,0.0142143947210616,0.00523815564936455,0,0
Datasets\Ionosphere.csv,0.157303370786517,3.9931296007868,0.822368421052632,0.832203389830509,0.8,0.827256675337979,0.774193548387097,14,0.0104620371470654,0.00428251674914407,0,0
Datasets\Ionosphere.csv,0.112359550561798,1.41710763432921,0.884868421052632,0.875401069518717,0.823529411764706,0.880109285904157,0.848484848484849,15,0.0797873806745235,0.00862894230590834,0,0
Datasets\Ionosphere.csv,0.179775280898876,4.13628553245531,0.791118421052632,0.810889929742389,0.785714285714286,0.800882168369371,0.733333333333333,16,0.086752098854948,0.00961912519958761,1,0
Datasets\Ionosphere.csv,0.179775280898876,14.0327131141103,0.784265350877193,0.816544566544567,0.807692307692308,0.800079514773795,0.724137931034483,17,0.0193173290742988,0.00653200348241734,1,0
Datasets\Ionosphere.csv,0.157303370786517,13.7889932018596,0.808662280701754,0.843711843711844,0.846153846153846,0.825815332872308,0.758620689655172,18,0.0131589881905271,0.00486068224017769,0,0
Datasets\Ionosphere.csv,0.168539325842697,30.2687911240145,0.793037280701754,0.8340625,0.84,0.813032691394049,0.736842105263158,19,0.00972114200450623,0.0034069599762861,1,0
Datasets\Ionosphere.csv,0.168539325842697,34.5407187769863,0.793037280701754,0.8340625,0.84,0.813032691394049,0.736842105263158,20,0.00798557733184551,0.00276077767504433,1,0
Datasets\Ionosphere.csv,0.101123595505618,0.153285119164446,0.879934210526316,0.898275862068965,0.896551724137931,0.889010442248688,0.852459016393443,2,0,0.0357470671078703,0,0
Datasets\Ionosphere.csv,0.0898876404494382,0.163154792862962,0.888706140350877,0.915105386416862,0.928571428571429,0.901712583502682,0.866666666666667,3,0.0692908945676599,0.0298978270123073,0,0
Datasets\Ionosphere.csv,0.101123595505618,0.156754045928534,0.879934210526316,0.898275862068965,0.896551724137931,0.889010442248688,0.852459016393443,4,0.103523061956464,0.0257978853958043,0,0
