header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,StartMSE(training),performance(training),MaxSELabel,MinLabel
Datasets\Uci_muskv1.csv,0.108333333333333,0.23650491359374,0.884049773755656,0.8958029728942,0.914893617021277,0.889887567392738,0.868686868686869,2,0,0.118973760936756,0,1
Datasets\Uci_muskv1.csv,0.0916666666666667,0.223293190507139,0.903280542986425,0.9098878988215,0.918367346938776,0.906572181991823,0.891089108910891,3,0.238173466275704,0.0941365307795242,0,1
Datasets\Uci_muskv1.csv,0.125,0.23935237126353,0.871606334841629,0.873401534526854,0.862745098039216,0.872503011266655,0.854368932038835,4,0.18856979168076,0.084234417603332,0,1
Datasets\Uci_muskv1.csv,0.108333333333333,0.230768246253283,0.888574660633484,0.890451832907076,0.882352941176471,0.889512256403988,0.87378640776699,5,0.167127400432729,0.0718254276298092,1,1
Datasets\Uci_muskv1.csv,0.116666666666667,0.232751300014405,0.872171945701357,0.893540669856459,0.931818181818182,0.882727005204981,0.854166666666667,6,0.143650855259618,0.0596439411779499,1,1
Datasets\Uci_muskv1.csv,0.116666666666667,0.244886123047472,0.874434389140271,0.888954171562867,0.91304347826087,0.881634502238481,0.857142857142857,7,0.1192878823559,0.0526834059579338,1,1
Datasets\Uci_muskv1.csv,0.0916666666666667,0.240481057045238,0.898755656108597,0.917777777777778,0.955555555555556,0.908167120341758,0.88659793814433,8,0.105469912824526,0.0472353798502276,1,1
Datasets\Uci_muskv1.csv,0.0833333333333333,0.239747660994266,0.908371040723982,0.924206815511163,0.956521739130435,0.916220507623934,0.897959183673469,9,0.0944634934722165,0.0436301667276644,1,1
Datasets\Uci_muskv1.csv,0.0833333333333333,0.244108094732095,0.908371040723982,0.924206815511163,0.956521739130435,0.916220507623934,0.897959183673469,10,0.0874766518526079,0.0405213513172846,1,1
Datasets\Uci_muskv1.csv,0.0916666666666667,0.234398258229785,0.901018099547511,0.913290585835034,0.936170212765957,0.907112835443666,0.888888888888889,11,0.0811425956116354,0.0380968407109315,1,1
Datasets\Uci_muskv1.csv,0.0916666666666667,0.227645756579819,0.901018099547511,0.913290585835034,0.936170212765957,0.907112835443666,0.888888888888889,12,0.0762085175121072,0.0351293936775563,1,1
Datasets\Uci_muskv1.csv,0.075,0.229894171927845,0.920248868778281,0.92713423397528,0.938775510204082,0.923678720184965,0.910891089108911,13,0.0702337368278039,0.0326910885427189,1,1
Datasets\Uci_muskv1.csv,0.0666666666666667,0.221216022061788,0.929864253393665,0.934285714285714,0.94,0.932069740346205,0.92156862745098,14,0.0654343009979729,0.0302832999545662,1,1
