header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,StartMSE(training),performance(training),MaxSELabel,MinLabel
Datasets\Urbanland.csv,0.668604651162791,0.728383537003234,0.218106995884774,0.0759581320450886,0,0.112675719899196,0,2,0,0.0796641607131542,5,5
Datasets\Urbanland.csv,0.558139534883721,0.698227277906811,0.292479428772841,0.230448075376658,0,0.257784572098913,0,3,0.717012328334902,0.0684913328038373,5,5
Datasets\Urbanland.csv,0.488372093023256,0.633952135015359,0.338603412636289,0.237293676772878,0,0.279037523300356,0,4,0.611730995754318,0.0570636944063377,7,5
Datasets\Urbanland.csv,0.424418604651163,0.565182746719535,0.429148519911405,0.366287513655935,0,0.395234155140057,0,5,0.510173838513803,0.0472861932954305,7,5
Datasets\Urbanland.csv,0.418604651162791,0.574042897416217,0.428309771978663,0.324587757921091,0,0.369304196284875,0,6,0.425722581970917,0.045332895664129,7,5
Datasets\Urbanland.csv,0.308139534883721,0.511307820920358,0.615672044645595,0.550747727218315,0,0.58140300341201,0,7,0.396172528174439,0.03628651108621,7,5
Datasets\Urbanland.csv,0.290697674418605,0.488060279345164,0.639077394439834,0.562839883428119,0,0.598540769504738,0,8,0.326064191132082,0.0333941975209145,5,5
Datasets\Urbanland.csv,0.296511627906977,0.486534091002643,0.631669987032427,0.556782759723936,0,0.59186696244272,0,9,0.299982942571533,0.0320236749172528,7,5
Datasets\Urbanland.csv,0.284883720930233,0.480154907074761,0.64952712988957,0.677000777000777,1,0.662979450841922,0.222222222222222,10,0.287086184462796,0.0306431260999798,4,5
Datasets\Urbanland.csv,0.27906976744186,0.467350744219202,0.663552855122191,0.68213234961601,1,0.672714341459926,0.4,11,0.275788134899818,0.0296938491604368,4,5
Datasets\Urbanland.csv,0.261627906976744,0.463148509642675,0.703539475568582,0.800717688822528,1,0.74898962253002,0.666666666666667,12,0.267105801868269,0.0283231523986291,7,5
Datasets\Urbanland.csv,0.255813953488372,0.445965595663453,0.737406470642474,0.766507617408946,1,0.75167548647204,0.933333333333333,13,0.254057107523796,0.0261781683626146,7,5
Datasets\Urbanland.csv,0.25,0.442012810025357,0.748592964355849,0.790746328044715,1,0.769092481023294,0.857142857142857,14,0.235233706624693,0.0245595706412788,7,5
Datasets\Urbanland.csv,0.244186046511628,0.426953093571174,0.763777874887441,0.790779590779591,1,0.777044231157887,1,15,0.220771355951966,0.0226724568691755,7,5
Datasets\Urbanland.csv,0.25,0.41848735471744,0.76019364549676,0.779901997643933,1,0.769921719290243,1,16,0.20405211182258,0.0212672264754719,7,5
Datasets\Urbanland.csv,0.244186046511628,0.416339622216583,0.772292136275266,0.794206457263164,1,0.783096013048967,1,17,0.191163296976663,0.0202948514309218,7,5
Datasets\Urbanland.csv,0.215116279069767,0.412417093997316,0.803213348949352,0.830575255405476,1,0.816665180146902,1,18,0.182770620739471,0.0195527917477272,4,5
Datasets\Urbanland.csv,0.22093023255814,0.417549230785406,0.807896192712655,0.82014575642099,1,0.813974891045718,1,19,0.175975125747278,0.0188499505726741,4,5
Datasets\Urbanland.csv,0.238372093023256,0.418702469242083,0.789113123929587,0.805000813456696,1,0.796977796598666,1,20,0.169720525076671,0.0182492972105181,4,5
Datasets\Urbanland.csv,0.662790697674419,0.727774305306741,0.222222222222222,0.0766430260047281,0,0.113976339889961,0,2,0,0.0797734827458014,5,5
Datasets\Urbanland.csv,0.529069767441861,0.643605617281817,0.358225000474104,0.236817449860928,0,0.285135727849139,0,3,0.713767827074556,0.069390713573093,5,5
Datasets\Urbanland.csv,0.377906976744186,0.566268903302915,0.461351825367398,0.351147407884997,0,0.398775755030033,0,4,0.624516422157837,0.0577029836521584,8,5
Datasets\Urbanland.csv,0.308139534883721,0.533667159768436,0.551518482878945,0.475853775853776,0,0.510899822922644,0,5,0.500302941856563,0.0499265305476307,5,5
Datasets\Urbanland.csv,0.290697674418605,0.472819809643397,0.556995991038446,0.488670826265574,0,0.520601183212708,0,6,0.446401463590809,0.0413857423598147,5,5
Datasets\Urbanland.csv,0.308139534883721,0.480840848696003,0.545113274989063,0.470632975412387,0,0.505142465342104,0,7,0.372576879757685,0.0385739599621646,7,5
Datasets\Urbanland.csv,0.296511627906977,0.471117005179421,0.555925757537116,0.481217154699067,0,0.515880710574654,0,8,0.347111925517236,0.0366158400738711,4,5
Datasets\Urbanland.csv,0.284883720930233,0.491608517648786,0.611876356510827,0.564403557050616,0,0.587181993177583,0,9,0.328203983765088,0.0319009732208112,5,5
Datasets\Urbanland.csv,0.244186046511628,0.517663631687488,0.706777183675898,0.707697677836567,0.857142857142857,0.707237131242426,0.8,10,0.285798891070934,0.0283195645631216,5,5
Datasets\Urbanland.csv,0.238372093023256,0.430737211546134,0.747087257773514,0.794666444666445,0.875,0.770142694064459,0.875,11,0.254029213748725,0.024108270428691,4,5
Datasets\Urbanland.csv,0.22093023255814,0.650621860585268,0.759012291729199,0.799054127068369,0.875,0.778518677874972,0.875,12,0.217347574198877,0.0211707429203578,4,5
