header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,StartMSE(training),performance(training),MaxSELabel,MinLabel
Datasets\Wine.csv,0.266666666666667,0.279556645085058,0.666666666666667,0.508403361344538,0,0.576877234803337,0,2,0,0.0935371547177907,2,2
Datasets\Wine.csv,0,0.00666485113300715,1,1,1,1,1,3,0.497471229390393,0.00210566296606982,1,2
Datasets\Wine.csv,0.0222222222222222,0.0209154527631259,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,4,0.42883202634466,0.0030978037095633,2,2
Datasets\Wine.csv,0.0222222222222222,0.0729106094601623,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,5,0.281598956474766,0.0155364878054997,1,2
Datasets\Wine.csv,0,0.0158500732075204,1,1,1,1,1,6,0.0576416550085421,0.00386317246724805,2,2
Datasets\Wine.csv,0.0222222222222222,0.0550144197463143,0.981481481481482,0.979166666666667,1,0.980322707595435,1,7,0.252828563467805,0.00207252326900393,1,2
Datasets\Wine.csv,0,0.0105748841773155,1,1,1,1,1,8,0.0943502444830021,0.000457206829029544,1,2
Datasets\Wine.csv,0.0222222222222222,0.143954694182264,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,9,0.255064040625227,0.0145845396950019,2,2
Datasets\Wine.csv,0.0222222222222222,0.160447409427518,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,10,0.0436377410315939,0.0100156807269539,1,2
Datasets\Wine.csv,0.0222222222222222,0.137527400602883,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,11,0.0300655658640315,0.00791301626290887,0,2
Datasets\Wine.csv,0.0222222222222222,0.115941198612336,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,12,0.0235149555965591,0.00665356329998207,0,2
Datasets\Wine.csv,0.0222222222222222,0.12376079696711,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,13,0.0201665579839082,0.00598519454576012,0,2
Datasets\Wine.csv,0.0444444444444444,0.1254783256137,0.959259259259259,0.955840455840456,0.923076923076923,0.957546805955018,0.96,14,0.0179866880395007,0.00552969776264944,0,2
Datasets\Wine.csv,0.0222222222222222,0.126280673615225,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,15,0.0166200555992093,0.00485365096302976,0,2
