header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,StartMSE(training),performance(training),MaxSELabel,MinLabel
Datasets\Wisconsin-breast-cancer.csv,0.0292397660818713,0.0479405794054705,0.965990990990991,0.96965799031477,0.966101694915254,0.967821017170816,0.957983193277311,2,0,0.0194535851022346,0,1
Datasets\Wisconsin-breast-cancer.csv,0.0233918128654971,0.0516234159744888,0.974324324324324,0.974324324324324,0.966666666666667,0.974324324324324,0.966666666666667,3,0.206618538212013,0.0139633587581822,0,1
Datasets\Wisconsin-breast-cancer.csv,0.0233918128654971,0.0469350577598709,0.974324324324324,0.974324324324324,0.966666666666667,0.974324324324324,0.966666666666667,4,0.0279303937798994,0.0120226406486791,0,1
Datasets\Wisconsin-breast-cancer.csv,0.0409356725146199,0.0516823485333862,0.949324324324324,0.960526315789474,0.964912280701754,0.954892468112839,0.94017094017094,5,0.287154673069248,0.0138674386024664,0,1
Datasets\Wisconsin-breast-cancer.csv,0.0292397660818713,476.092071984328,0.962162162162162,0.973684210526316,0.982456140350877,0.967888897053421,0.957264957264957,6,0.25474703004463,0.0156023001267258,0,1
Datasets\Wisconsin-breast-cancer.csv,0.0467836257309941,29.7878691480615,0.940990990990991,0.956055900621118,0.964285714285714,0.948463628754835,0.931034482758621,7,0.0309099062808146,0.00862628398859033,0,1
Datasets\Wisconsin-breast-cancer.csv,0.0350877192982456,22.8958869182935,0.953828828828829,0.969332298136646,0.982142857142857,0.961518073253186,0.948275862068965,8,0.0200252567097437,0.0056665432954012,1,1
Datasets\Wisconsin-breast-cancer.csv,0.0409356725146199,7.12954712622311,0.945495495495495,0.965047021943574,0.981818181818182,0.955171218499817,0.939130434782609,9,0.0113330865908024,0.00406971927025282,1,1
Datasets\Wisconsin-breast-cancer.csv,0.0292397660818713,0.0642815262222751,0.962162162162162,0.973684210526316,0.982456140350877,0.967888897053421,0.957264957264957,10,0.0527327229576312,0.00752500301437173,1,1
Datasets\Wisconsin-breast-cancer.csv,0.0175438596491228,19.3781901823508,0.975,0.986842105263158,1,0.980885311871227,0.974358974358974,11,0.0271487032078498,0.00464258293167072,1,1
Datasets\Wisconsin-breast-cancer.csv,0.0175438596491228,178.003113933554,0.975,0.986842105263158,1,0.980885311871227,0.974358974358974,12,0.0348951357362994,0.00424908918612478,1,1
Datasets\Wisconsin-breast-cancer.csv,0.0175438596491228,355.353686158608,0.975,0.986842105263158,1,0.980885311871227,0.974358974358974,13,0.00849817837224957,0.00226129821448478,1,1
Datasets\Wisconsin-breast-cancer.csv,0.0233918128654971,3.87413756982184,0.970495495495495,0.978104974061642,0.982758620689655,0.974285376893396,0.966101694915254,14,0.0219683617574718,0.00231078894387538,1,1
Datasets\Wisconsin-breast-cancer.csv,0.0175438596491228,392.698291162763,0.975,0.986842105263158,1,0.980885311871227,0.974358974358974,15,0.0131693887075379,0.00219500730085732,1,1
Datasets\Wisconsin-breast-cancer.csv,0.0175438596491228,2621.40698737447,0.975,0.986842105263158,1,0.980885311871227,0.974358974358974,16,0.0203167729697371,0.00214763703150616,1,1
Datasets\Wisconsin-breast-cancer.csv,0.0292397660818713,313.390313627254,0.962162162162162,0.973684210526316,0.982456140350877,0.967888897053421,0.957264957264957,17,0.0430417252379185,0.00265949646530751,1,1
Datasets\Wisconsin-breast-cancer.csv,0.0292397660818713,685.911734723629,0.962162162162162,0.973684210526316,0.982456140350877,0.967888897053421,0.957264957264957,18,0.00562319518198019,0.000295562099016027,0,1
Datasets\Wisconsin-breast-cancer.csv,0.0233918128654971,0.127259595279906,0.970495495495495,0.978104974061642,0.982758620689655,0.974285376893396,0.966101694915254,19,0.0699625480846335,0.00994175944401756,1,1
Datasets\Wisconsin-breast-cancer.csv,0.0233918128654971,0.165626599571805,0.970495495495495,0.978104974061642,0.982758620689655,0.974285376893396,0.966101694915254,20,0.0199722119785832,0.00674502067862588,1,1
Datasets\Wisconsin-breast-cancer.csv,0.0350877192982456,0.0463095860268636,0.961486486486486,0.961486486486486,0.95,0.961486486486486,0.95,2,0,0.0195123465316026,0,1
Datasets\Wisconsin-breast-cancer.csv,0.0467836257309941,0.0610728784546631,0.948648648648649,0.948648648648649,0.933333333333333,0.948648648648649,0.933333333333333,3,0.0391626400759729,0.0112048543027113,0,1
Datasets\Wisconsin-breast-cancer.csv,0.0409356725146199,0.0679346810898855,0.956981981981982,0.953576751117735,0.934426229508197,0.955276331940914,0.942148760330578,4,0.0322106269829917,0.00772700973445649,0,1
Datasets\Wisconsin-breast-cancer.csv,0.0467836257309941,0.0591926190551808,0.94481981981982,0.952014037229173,0.948275862068966,0.948403285588943,0.932203389830508,5,0.328266891824164,0.0131453253140035,0,1
Datasets\Wisconsin-breast-cancer.csv,0.0467836257309941,113.002991209891,0.948648648648649,0.948648648648649,0.933333333333333,0.948648648648649,0.933333333333333,6,0.0286671834384288,0.00845175553500677,0,1
Datasets\Wisconsin-breast-cancer.csv,0.0467836257309941,340.338851306171,0.948648648648649,0.948648648648649,0.933333333333333,0.948648648648649,0.933333333333333,7,0.0169035110700135,0.0073012324648897,0,1
Datasets\Wisconsin-breast-cancer.csv,0.0467836257309941,2103.98282017964,0.94481981981982,0.952014037229173,0.948275862068966,0.948403285588943,0.932203389830508,8,0.0346353584185031,0.00459400268451788,1,1
Datasets\Wisconsin-breast-cancer.csv,0.0292397660818713,179.933655335384,0.973648648648649,0.963624338624339,0.936507936507937,0.968610558522516,0.959349593495935,9,0.12650639438001,0.00667892224348478,0,1
Datasets\Wisconsin-breast-cancer.csv,0.0233918128654971,0.0796391722837486,0.981981981981982,0.96875,0.9375,0.975321114157887,0.967741935483871,10,0.0188632504924075,0.00528528313449732,1,1
Datasets\Wisconsin-breast-cancer.csv,0.0292397660818713,0.141971002001248,0.96981981981982,0.966318926974665,0.950819672131147,0.96806620827007,0.958677685950413,11,0.0779746715098446,0.0151809255455012,0,1
Datasets\Wisconsin-breast-cancer.csv,0.0409356725146199,0.894850911442235,0.953153153153153,0.956719128329298,0.949152542372881,0.954932811675957,0.941176470588235,12,0.0311170511119324,0.0104903781502241,1,1
Datasets\Wisconsin-breast-cancer.csv,0.0467836257309941,0.382382982332923,0.94481981981982,0.952014037229173,0.948275862068966,0.948403285588943,0.932203389830508,13,0.020917264919411,0.00909795817653688,1,1
